window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
0,0.0,"['kamala', 'community', 'help', 'helene', 'work', 'family', 'harris', 'federal', 'need', 'biden']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
0,1.0,"['israel', 'iran', 'attack', 'stand', 'hezbollah', 'must', 'missile', 'terrorist', 'defend', 'united']",1,[2],"[['israel', 'iran', 'attack', 'stand', 'must', 'missile', 'ally', 'joe', 'biden', 'defend']]",[0.985],[0.969],[0.756],0.969,0.756,continued,,,,,
0,2.0,"['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']",1,[4],"[['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']]",[0.999],[0.987],[0.613],0.987,0.613,continued,,,,,
0,3.0,"['joe', 'biden', 'kamala', 'harris', 'iran', 'israel', 'administration', 'attack', 'world', 'weakness']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
0,4.0,"['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'we', 'thank']",1,[7],"[['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'legacy', 'compassion']]",[0.999],[0.941],[0.965],0.941,0.965,continued,,,,,
0,5.0,"['hate', 'haitian', 'racist', 'higgins', 'hindu', 'community', 'higgin', 'antisemitism', 'censure', 'place']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,0.0,"['community', 'great', 'work', 'service', 'help', 'thank', 'support', 'veteran', 'join', 'today']",2,[2],"[['veteran', 'service', 'housing', 'academy', 'community', 'honor', 'great', 'join', 'thank', 'help']]",[0.956],[0.448],[1.259],0.448,1.259,unclear,,,,,
1,1.0,"['helene', 'hurricane', 'federal', 'emergency', 'disaster', 'help', 'county', 'agency', 'management', 'assistance']",2,[3],"[['helene', 'hurricane', 'federal', 'emergency', 'help', 'agency', 'management', 'assistance', 'disaster', 'county']]",[0.996],[0.818],[1.494],0.818,1.494,continued,,,,,
1,2.0,"['israel', 'iran', 'attack', 'stand', 'must', 'missile', 'ally', 'joe', 'biden', 'defend']",2,[0],"[['israel', 'attack', 'hamas', 'hostage', 'terrorist', 'one', 'year', 'iran', 'stand', 'october']]",[0.891],[0.798],[0.588],0.798,0.588,unclear,,,,,
1,3.0,"['kamala', 'border', 'harris', 'biden', 'joe', 'illegal', 'alien', 'management', 'agency', 'immigrant']",2,[1],"[['kamala', 'biden', 'joe', 'harris', 'illegal', 'border', 'management', 'agency', 'emergency', 'federal']]",[0.985],[0.782],[0.636],0.782,0.636,continued,,,,,
1,4.0,"['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']",2,[4],"[['rosh', 'hashanah', 'wish', 'new', 'year', 'celebrate', 'tovah', 'shana', 'may', 'jewish']]",[1.0],[0.98],[1.004],0.98,1.004,continued,,,,,
1,5.0,"['care', 'abortion', 'medicare', 'donald', 'republicans', 'act', 'project', 'drug', 'health', 'trump']",2,[9],"[['medicare', 'care', 'donald', 'trump', 'cost', 'health', 'affordable', 'act', 'project', 'senior']]",[0.943],[0.519],[1.287],0.519,1.287,continued,,,,,
1,6.0,"['election', 'donald', 'trump', 'doj', 'vote', 'investigation', 'attempt', 'voter', 'secret', 'federal']",2,[6],"[['election', 'donald', 'chinese', 'investigation', 'trump', 'security', 'communist', 'china', 'bureau', 'party']]",[0.966],[0.737],[0.634],0.737,0.634,continued,,,,,
1,7.0,"['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'legacy', 'compassion']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,8.0,"['strike', 'port', 'worker', 'economy', 'contract', 'union', 'joe', 'biden', 'ila', 'bargaining']",2,[12],"[['worker', 'port', 'strike', 'union', 'fair', 'contract', 'bargaining', 'ila', 'collective', 'economy']]",[0.98],[0.842],[1.143],0.842,1.143,continued,,,,,
1,9.0,"['star', 'gold', 'mother', 'family', 'sacrifice', 'honor', 'day', 'love', 'service', 'one']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,10.0,"['teacher', 'educator', 'worldteachersday', 'day', 'world', 'thank', 'happy', 'shape', 'student', 'inspire']",2,[11],"[['teacher', 'worldteachersday', 'educator', 'day', 'world', 'happy', 'thank', 'shape', 'inspire', 'student']]",[0.997],[0.944],[0.918],0.944,0.918,continued,,,,,
1,11.0,"['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'survivor', 'woman']",2,[13],"[['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'research', 'survivor']]",[0.987],[0.928],[0.928],0.928,0.928,continued,,,,,
1,12.0,"['passport', 'lebanon', 'travel', 'citizen', 'state', 'statedept', 'renew', 'flight', 'embassy', 'online']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,13.0,"['violence', 'domestic', 'survivor', 'awareness', 'month', 'support', 'prevention', 'suicide', 'safe', 'help']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,0.0,"['israel', 'attack', 'hamas', 'hostage', 'terrorist', 'one', 'year', 'iran', 'stand', 'october']",3,[1],"[['israel', 'hamas', 'attack', 'hostage', 'year', 'one', 'terrorist', 'october', 'people', 'stand']]",[0.995],[0.898],[1.039],0.898,1.039,continued,,,,,
2,1.0,"['kamala', 'biden', 'joe', 'harris', 'illegal', 'border', 'management', 'agency', 'emergency', 'federal']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,2.0,"['veteran', 'service', 'housing', 'academy', 'community', 'honor', 'great', 'join', 'thank', 'help']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,3.0,"['helene', 'hurricane', 'federal', 'emergency', 'help', 'agency', 'management', 'assistance', 'disaster', 'county']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,4.0,"['rosh', 'hashanah', 'wish', 'new', 'year', 'celebrate', 'tovah', 'shana', 'may', 'jewish']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,5.0,"['milton', 'hurricane', 'evacuation', 'shelter', 'storm', 'county', 'florida', 'evacuate', 'please', 'mayor']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,6.0,"['election', 'donald', 'chinese', 'investigation', 'trump', 'security', 'communist', 'china', 'bureau', 'party']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,7.0,"['water', 'lead', 'pipe', 'environmental', 'clean', 'protection', 'replace', 'drinking', 'infrastructure', 'protect']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,8.0,"['manufacturing', 'economy', 'job', 'manufacture', 'manufacturingday', 'manufacturer', 'ohio', 'mfgday', 'business', 'work']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,9.0,"['medicare', 'care', 'donald', 'trump', 'cost', 'health', 'affordable', 'act', 'project', 'senior']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,10.0,"['child', 'care', 'family', 'childcareweekofaction', 'childcare', 'kid', 'cost', 'work', 'pay', 'affordable']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,11.0,"['teacher', 'worldteachersday', 'educator', 'day', 'world', 'happy', 'thank', 'shape', 'inspire', 'student']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,12.0,"['worker', 'port', 'strike', 'union', 'fair', 'contract', 'bargaining', 'ila', 'collective', 'economy']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,13.0,"['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'research', 'survivor']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,14.0,"['abortion', 'woman', 'reproductive', 'ban', 'supreme', 'court', 'care', 'freedom', 'donald', 'texas']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,15.0,"['farmer', 'farm', 'agriculture', 'bill', 'crop', 'producer', 'harvest', 'food', 'support', 'pass']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,16.0,"['game', 'wps', 'win', 'cumberland', 'night', 'football', 'player', 'cheer', 'congrat', 'go']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,17.0,"['vote', 'register', 'election', 'voter', 'registration', 'deadline', 'november', 'voice', 'voting', 'check']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,18.0,"['job', 'unemployment', 'economy', 'september', 'report', 'wage', 'growth', 'expectation', 'create', 'add']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,19.0,"['climate', 'energy', 'clean', 'reduction', 'act', 'emission', 'change', 'inflation', 'weather', 'rebate']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,0.0,"['kamala', 'hurricane', 'federal', 'help', 'community', 'need', 'milton', 'work', 'biden', 'joe']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,1.0,"['israel', 'hamas', 'attack', 'hostage', 'year', 'one', 'terrorist', 'october', 'people', 'stand']",4,[3],"[['israel', 'hamas', 'iran', 'attack', 'hostage', 'october', 'jewish', 'must', 'terrorist', 'hold']]",[0.956],[0.912],[3.442],0.912,3.442,continued,,,,,
3,2.0,"['yom', 'kippur', 'wish', 'meaningful', 'fast', 'observe', 'mar', 'chatima', 'easy', 'tovah']",4,[2],"[['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'easy', 'reflection']]",[0.999],[0.98],[0.644],0.98,0.644,continued,,,,,
3,3.0,"['daca', 'dreamer', 'court', 'homeishere', 'circuit', 'case', 'family', 'hear', 'th', 'argument']",4,[14],"[['daca', 'dreamer', 'court', 'homeishere', 'circuit', 'case', 'argument', 'hear', 'family', 'th']]",[0.999],[0.955],[0.941],0.955,0.941,continued,,,,,
4,0.0,"['hurricane', 'milton', 'emergency', 'federal', 'management', 'helene', 'disaster', 'agency', 'county', 'florida']",5,[1],"[['hurricane', 'milton', 'helene', 'emergency', 'federal', 'management', 'disaster', 'agency', 'assistance', 'recovery']]",[0.976],[0.775],[2.198],0.775,2.198,continued,,,,,
4,1.0,"['kamala', 'harris', 'biden', 'joe', 'border', 'illegal', 'election', 'administration', 'american', 'americans']",5,[0],"[['kamala', 'harris', 'joe', 'biden', 'border', 'illegal', 'crime', 'administration', 'election', 'americans']]",[0.991],[0.808],[0.771],0.808,0.771,continued,,,,,
4,2.0,"['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'easy', 'reflection']",5,[4],"[['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'reflection', 'easy']]",[0.999],[0.966],[0.911],0.966,0.911,continued,,,,,
4,3.0,"['israel', 'hamas', 'iran', 'attack', 'hostage', 'october', 'jewish', 'must', 'terrorist', 'hold']",5,[2],"[['israel', 'hamas', 'sinwar', 'yahya', 'terrorist', 'hostage', 'attack', 'october', 'gaza', 'leader']]",[0.913],[0.675],[0.42],0.675,0.42,unclear,,,,,
4,4.0,"['birthday', 'navy', 'usnavy', 'happy', 'thank', 'sea', 'sailor', 'serve', 'brave', 'th']",5,[7],"[['birthday', 'navy', 'usnavy', 'happy', 'sailor', 'serve', 'sea', 'thank', 'brave', 'th']]",[0.996],[0.898],[1.039],0.898,1.039,continued,,,,,
4,5.0,"['indigenous', 'people', 'indigenouspeoplesday', 'culture', 'day', 'native', 'contribution', 'community', 'history', 'honor']",5,[5],"[['indigenous', 'people', 'indigenouspeoplesday', 'day', 'culture', 'native', 'community', 'contribution', 'history', 'honor']]",[0.999],[0.993],[0.896],0.993,0.896,continued,,,,,
