window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation
0,0,"['kamala', 'community', 'help', 'helene', 'work', 'family', 'harris', 'federal', 'need', 'biden']",1,[],[],[],[],[],0.0,0.0,disappeared
0,1,"['israel', 'iran', 'attack', 'stand', 'hezbollah', 'must', 'missile', 'terrorist', 'defend', 'united']",1,[],[],[],[],[],0.0,0.0,disappeared
0,2,"['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']",1,[4],"[['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']]",[1.0],[1.0],[1.0],1.0,1.0,continued
0,3,"['joe', 'biden', 'kamala', 'harris', 'iran', 'israel', 'administration', 'attack', 'world', 'weakness']",1,[],[],[],[],[],0.0,0.0,disappeared
0,4,"['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'we', 'thank']",1,[],[],[],[],[],0.0,0.0,disappeared
0,5,"['hate', 'haitian', 'racist', 'higgins', 'hindu', 'community', 'higgin', 'antisemitism', 'censure', 'place']",1,[],[],[],[],[],0.0,0.0,disappeared
1,0,"['community', 'great', 'work', 'service', 'help', 'thank', 'support', 'veteran', 'join', 'today']",2,[],[],[],[],[],0.0,0.0,disappeared
1,1,"['helene', 'hurricane', 'federal', 'emergency', 'disaster', 'help', 'county', 'agency', 'management', 'assistance']",2,[3],"[['helene', 'hurricane', 'federal', 'emergency', 'help', 'agency', 'management', 'assistance', 'disaster', 'county']]",[1.0],[1.0],[1.0],1.0,1.0,continued
1,2,"['israel', 'iran', 'attack', 'stand', 'must', 'missile', 'ally', 'joe', 'biden', 'defend']",2,[],[],[],[],[],0.0,0.0,disappeared
1,3,"['kamala', 'border', 'harris', 'biden', 'joe', 'illegal', 'alien', 'management', 'agency', 'immigrant']",2,[],[],[],[],[],0.0,0.0,disappeared
1,4,"['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']",2,[4],"[['rosh', 'hashanah', 'wish', 'new', 'year', 'celebrate', 'tovah', 'shana', 'may', 'jewish']]",[1.0],[1.0],[1.0],1.0,1.0,continued
1,5,"['care', 'abortion', 'medicare', 'donald', 'republicans', 'act', 'project', 'drug', 'health', 'trump']",2,[],[],[],[],[],0.0,0.0,disappeared
1,6,"['election', 'donald', 'trump', 'doj', 'vote', 'investigation', 'attempt', 'voter', 'secret', 'federal']",2,[],[],[],[],[],0.0,0.0,disappeared
1,7,"['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'legacy', 'compassion']",2,[],[],[],[],[],0.0,0.0,disappeared
1,8,"['strike', 'port', 'worker', 'economy', 'contract', 'union', 'joe', 'biden', 'ila', 'bargaining']",2,[],[],[],[],[],0.0,0.0,disappeared
1,9,"['star', 'gold', 'mother', 'family', 'sacrifice', 'honor', 'day', 'love', 'service', 'one']",2,[],[],[],[],[],0.0,0.0,disappeared
1,10,"['teacher', 'educator', 'worldteachersday', 'day', 'world', 'thank', 'happy', 'shape', 'student', 'inspire']",2,[11],"[['teacher', 'worldteachersday', 'educator', 'day', 'world', 'happy', 'thank', 'shape', 'inspire', 'student']]",[1.0],[1.0],[1.0],1.0,1.0,continued
1,11,"['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'survivor', 'woman']",2,[13],"[['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'research', 'survivor']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
1,12,"['passport', 'lebanon', 'travel', 'citizen', 'state', 'statedept', 'renew', 'flight', 'embassy', 'online']",2,[],[],[],[],[],0.0,0.0,disappeared
1,13,"['violence', 'domestic', 'survivor', 'awareness', 'month', 'support', 'prevention', 'suicide', 'safe', 'help']",2,[],[],[],[],[],0.0,0.0,disappeared
2,0,"['israel', 'attack', 'hamas', 'hostage', 'terrorist', 'one', 'year', 'iran', 'stand', 'october']",3,[1],"[['israel', 'hamas', 'attack', 'hostage', 'year', 'one', 'terrorist', 'october', 'people', 'stand']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
2,1,"['kamala', 'biden', 'joe', 'harris', 'illegal', 'border', 'management', 'agency', 'emergency', 'federal']",3,[],[],[],[],[],0.0,0.0,disappeared
2,2,"['veteran', 'service', 'housing', 'academy', 'community', 'honor', 'great', 'join', 'thank', 'help']",3,[],[],[],[],[],0.0,0.0,disappeared
2,3,"['helene', 'hurricane', 'federal', 'emergency', 'help', 'agency', 'management', 'assistance', 'disaster', 'county']",3,[],[],[],[],[],0.0,0.0,disappeared
2,4,"['rosh', 'hashanah', 'wish', 'new', 'year', 'celebrate', 'tovah', 'shana', 'may', 'jewish']",3,[],[],[],[],[],0.0,0.0,disappeared
