case_study,topic_top_words,topic_representative_tweets,adjacent_topics_top_words,adjacent_topics_representative_tweets,original,forward_only,lexical_only,no_coverage
106_0,"donald, trump, community, work, make, family, president, bill, year, great","Tweet 1: Thank you to Governor DeSantis for delivering on the Crane Creek/M-1 Canal Flow Restoration Project in Melbourne! 

This is a major win for the Indian River Lagoon, restoring natural water flow and keeping thousands of pounds of harmful nutrients out of our waterways each year.
Tweet 2: No one should ever have to endure the heartbreak that the Abbas family has faced. The bipartisan HALT Drunk Driving Law has the power to save thousands of lives each year. It’s time for NHTSA to take decisive action.
Tweet 3: Called out Donald Trump’s reckless decision to cancel union contracts at the #LongBeach VA alongside @AFGENational, AFGE Local 1061, @LALabor - and my colleagues @RepRobertGarcia & @RepDerekTranCA.

Sidelining unions at the VA hurts both workers and the veterans who rely on them. I’ll keep fighting to protect workers’ rights and ensure veterans get the care they’ve earned. @HouseDemocrats will continue to show up to #HonorOurVeterans and #StandUpForWorkers!
","Topic 0: donald, trump, community, work, family, bill, make, help, big, one

Topic 1: social, security, benefit, senior, protect, earn, year, hard, today, americans

Topic 4: woman, right, vote, amendment, th, ratify, equality, fight, today, ago

","Topic 0:
Tweet 1: Stop 2 of my Made in America Manufacturing Tour: Vermeer in Pella!

Vermeer is booming and hiring hundreds of skilled workers thanks to the One Big Beautiful Bill Act (OBBBA). With immediate expensing, permanent R&D support, and the permanency of tax provisions in the OBBBA, this law is fueling growth in Iowa and across our nation.
Tweet 2: Happy first day of school! 📚✏️

Wishing all our students, teachers, and parents a safe and successful school year!
Tweet 3: Operation Stonegarden provides funding to local & state law enforcement agencies to partner with Border Patrol to combat human & drug smuggling. 

The #OBBB delivers $450 million for this critical program. 

P.S. No illegal crossings detected today. Promises made, promises kept.🇺🇸

Topic 1:
Tweet 1: On this day 90 years ago, FDR signed Social Security into law, so all Americans can retire with dignity. Social Security isn’t a handout; it’s money our seniors invested in through a lifetime of hard work. https://t.co/iUt1eetmb5
Tweet 2: Today, we celebrate 90 years of Social Security. For more than 150,000 Long Islanders in NY-04, it means peace of mind after a lifetime of hard work.
 
I'll always fight against efforts to slash, undermine or privatize Social Security. https://t.co/zQxopsdMLv
Tweet 3: Great to join @AARPOhio this morning to celebrate 90 years of Social Security! https://t.co/EA2J6cWFDK

Topic 4:
Tweet 1: Wyoming led the nation in women’s suffrage, cementing women’s right to vote decades before the 19th amendment was ratified. I am honored to represent the Equality State and the trailblazers that came before me. https://t.co/v7gsC2WV8V
Tweet 2: Today, we are celebrating the 105th anniversary of the 19th Amendment, a historic victory for women’s suffrage. 

We honor the trailblazers who fought for equality and continue to empower women to lead, vote, and shape our nation’s future. https://t.co/8KEwn9S28L
Tweet 3: 105 years ago, the 19th Amendment was ratified, granting women the right to vote. 

Today, we honor the courageous women who fought for this fundamental freedom and paved the way for future generations.

",continued_0,continued_0,disappeared,continued_0
26_9,"navy, army, game, football, championship, beat, go, state, win, team","Tweet 1: Love to see that people are flocking to the Green Mountain State. 🏔️ https://t.co/C1u76vAOq2
Tweet 2: One-third of the revenues for West Point and the Naval Academy come from the @ArmyNavy. My colleagues and I are calling on the NCAA, @CFBPlayoff and @BowlSeason  to put our service members first and preserve this time-honored tradition. #ArmyNavyGame https://t.co/6SUSUrRugf
Tweet 3: Congratulations to Killingly HS who ‘ran the table’ last night defeating a very good Sheehan-Wallingford team to secure another state title. 

Great players, great coaching and lots of support in town — that’s an unbeatable combination!

https://t.co/ZHcevMXYf9
","Topic 14: championship, football, sport, state, win, team, coach, congratulation, ncaa, game

Topic 15: honor, hero, veteran, wreath, serve, sacrifice, cemetery, medal, vietnam, community

Topic 13: truth, randy, gabby, chrisinohio, americaninq, devilfrawg, angel, rustycanno, guy, mludwig

","Topic 14:
Tweet 1: As a proud Padre, I couldn’t be more thrilled to congratulate the Carmel High Padres on their historic 15-0 season and state championship victory! A commanding 48-7 win capped off an unforgettable year. 
https://t.co/7TbdI46Ul6
Tweet 2: Cheering on the Seahawks against the Packers in a must-win game. Let’s bring the energy, #12s! https://t.co/MOEBr7LjjY
Tweet 3: Congratulations to the UVM Catamounts soccer team for defeating Marshall, 2-1, to win the Division One National Championship. 

Yup. Vermont is a soccer state!

Topic 15:
Tweet 1: Shirley Chisholm is an inspiration to women in the halls of Congress &amp; across the country.

Proud to see @VP sign the Shirley Chisholm Gold Medal act, awarding the late Congresswoman the highest civilian honor Congress can bestow.
Tweet 2: It was humbling to present Mrs. Jackie Hebert with the medals her incredible father earned while serving our nation. All veterans deserve to be honored properly &amp; their families should be recognized for their immense sacrifices. https://t.co/JWZoB9WmGk
Tweet 3: Commander Alvarez is a symbol of our country at its best, and I am proud that our country will honor him.

Topic 13:
Tweet 1: Working for you! 📞 https://t.co/sH20bWaIrc
Tweet 2: @ChristLover_12 @DimitriosG25472 @randy24049 @DevilFrawg @americaninq1488 These poor guys live in an echo chamber.
Tweet 3: @HarveyJackalope Your last name is Jackalope. Pass. 🤡

",continued_14,continued_14,disappeared,continued_14
117_8,"hispanic, month, heritage, contribution, culture, celebrate, community, latino, hispanicheritagemonth, history","Tweet 1: #HispanicHeritageMonth is a time to celebrate the rich culture, history, and contributions of the Hispanic community—contributions that shape our neighborhoods and strengthen our economy.

I’m proud to always stand with the Hispanic community in Texas and across the nation. https://t.co/c0LRTAi97Q
Tweet 2: Hispanic Heritage Month is a time to honor the history, culture, and countless contributions of Hispanic and Latino communities across our nation. Let’s celebrate the richness of this heritage and continue working toward equity, inclusion, and opportunity for all. https://t.co/qzjSxmmTHR
Tweet 3: Happy #HispanicHeritageMonth!

I am honored to represent a vibrant Hispanic community whose values and culture enrich our communities &amp; nation.
","Topic 8: hispanic, month, heritage, contribution, culture, celebrate, community, latino, hispanicheritagemonth, history

Topic 1: business, farmer, discuss, great, farm, community, meet, support, work, association

Topic 5: birthday, air, force, happy, usairforce, th, sky, woman, thank, brave

","Topic 8:
Tweet 1: #Miami is the Capital of Latin America and soon, the capital of the world’s game. ⚽️

I am thrilled to welcome the @FIFAWorldCup to the #305 https://t.co/zVpzUgj4JK
Tweet 2: Happy #HispanicHeritageMonth!

I am honored to represent a vibrant Hispanic community whose values and culture enrich our communities &amp; nation.
Tweet 3: Excited to celebrate #HispanicHeritageMonth. 

I’m proud to honor the rich cultures, traditions, and contributions of our Hispanic community and to stand in strong support of the vibrant role they play in our nation’s story. https://t.co/pUCFYT0SEO

Topic 1:
Tweet 1: Route 66 fuels economic growth and opportunity in #IL16 and beyond.

I was proud to reintroduce the Route 66 National Historic Trail Designation Act alongside @RepTeresaLF and my colleagues in the Senate to support and preserve the Mother Road.
https://t.co/f2Tty1kFql
Tweet 2: I met with agricultural leaders to discuss priorities on animal health, labor, and trade. Their perspective helps guide my work in Congress to strengthen American agriculture and support the farmers and producers who feed our nation. https://t.co/8t2XMUZguA
Tweet 3: Congratulations to @IowaStateU for their proposal “RuralSTAMINA” being named a finalist in the National Science Foundation’s Regional Innovation Engines program.

Their project showcases leadership and strengthens Iowa’s rural economy by building an innovative ecosystem that supports bio-based manufacturing.

Topic 5:
Tweet 1: GO CUBS GO!

For the first time since 2020, the Cubbies are playing in the postseason! #FlyTheW
Tweet 2: Team Costa had the honor of wishing Rodger Jensen, a proud U.S. Air Force veteran of WWII, a happy 105th birthday.  🎉 

This milestone was an opportunity to celebrate his service to our nation, his leadership in agriculture, and his lasting contributions to our community. 

Our Valley is fortunate to have individuals like him!
Tweet 3: Today we honor all who have served in the United States Air Force. Since 1947, they have stood as a symbol of American strength, unmatched in skill, power, and dedication.

From protecting our skies to advancing aviation and technology, their service keeps our nation safe and our freedoms secure. We are forever grateful.

",continued_8,continued_8,continued_8,continued_8
83_19,"ban, travel, trump, donald, bigotry, security, muslim, safe, country, people","Tweet 1: Once again, President Trump has issued a travel ban that betrays our values and weakens—not strengthens—our national security. America’s strength lies in welcoming people of all backgrounds. This ban is an affront to who we are.

https://t.co/UHlFjUjgWk
Tweet 2: How should corporations respond to Trump’s attacks on diversity and inclusion?

My advice: follow the customers. 

Trump only has as much power as you give him. https://t.co/YOT2cNuGUf
Tweet 3: This is Trump’s reckless first term travel ban all over again. 

Just like before, Trump’s expanded ban on travelers from around the world will not improve our national security and will only further isolate the U.S. from the rest of world. 

Bigotry is not a national security strategy.
","Topic 18: ban, travel, trump, donald, security, bigotry, country, muslim, discriminatory, safe

Topic 0: law, ice, donald, trump, enforcement, illegal, los, angeles, la, guard

Topic 4: antisemitism, jewish, israel, hostage, antisemitic, hamas, condemn, attack, gaza, terrorist

","Topic 18:
Tweet 1: TSA is ridiculous. Just saying. Our governments concept of what’s ok and what’s not is just absurd. 
  Yeah, I’m the senior Republican on the Homeland Security Committee, and yeah, I could have special security and escorted passage through TSA and yeah, my people could drive straight to the plane on the tarmac to pick me up… but I’ve never once done any of that. For 9 years, I’ve navigated through airports on my own, regular, normal procedure. And I’m saying, our TSA system is bass ackwards.
Tweet 2: From his first Muslim Ban, Trump’s travel bans have always betrayed of the ideals and values that inspired America’s Founders.

Trump’s use of prejudice and bigotry to bar people from entering the U.S. does not make us safer, it just divides us and weakens our global leadership.
Tweet 3: What does it mean to “vet” someone from a country with no institutions to perform background checks?

President Trump’s travel ban is a victory for American safety. https://t.co/UIyNHDPLTU

Topic 0:
Tweet 1: As ICE terrorizes communities in California with chaotic immigration sweeps, Trump’s order to deploy National Guard soldiers on our streets is unwarranted and unacceptable. He should immediately reverse course and focus on protecting our communities, not terrorizing them.
Tweet 2: 📺 COMING UP! 

Joining @MariaBartiromo on @MorningsMaria to discuss the anti-ICE riots in Los Angeles and how the One Big Beautiful Bill Act will increase resources to detain and deport violent illegal aliens. Tune in! https://t.co/3bjpdcxO7F
Tweet 3: This guy gets it. 
Every country on earth enforces immigration laws. It’s common sense. https://t.co/K9ae0KMCzq

Topic 4:
Tweet 1: After months of agony, the bodies of Gadi and Judi Haggai, an Israeli-American couple Hamas brutally murdered and held hostage since October 7, have been recovered.

I’m holding their loved ones close in my heart as they find the strength to lay Gadi and Judi to rest.
Tweet 2: Orange County’s Judih Weinstein Haggai was a beloved teacher; Gadi was a talented musician.

The past 600+ days have brought unimaginable grief to the Haggai family. Though the pain of 10/7 will never fade, finally, we have some closure. 

May their memory be a blessing.
Tweet 3: As a former cop and veteran of the Global War on Terror, I know Colorado’s radical laws put violent illegal immigrants over public safety.

My resolution condemns antisemitism and empowers law enforcement to prevent future attacks like this.
https://t.co/KYvUNJRD3Z

",continued_18,continued_18,unclear,unclear
48_1,"vladimir, ukraine, putin, russia, war, donald, trump, volodymyr, zelensky, dictator","Tweet 1: I’m LIVE on the Senate floor urging continued U.S. support for Ukraine — for our national security and democracy everywhere. https://t.co/GDzXl9YXAo
Tweet 2: Vladimir Putin — an actual dictator — started this war by invading Ukraine. Don't let Donald Trump continue to lie to you — he is trying to rewrite history.

I stand firm in my unwavering support for Ukraine's independence and democracy. https://t.co/5vWUVpF36e
Tweet 3: The illegitimate Ivanishvili regime is imposing massive fines on the brave Georgian People for simply exercising their rights to free speech and assembly and calling for free and fair elections in line with the Georgian constitution. The Georgian People will not be intimidated!
","Topic 1: vladimir, ukraine, russia, putin, war, invasion, ukrainian, volodymyr, ally, stand

Topic 22: israel, aipac, antisemitism, jewish, ally, meet, great, support, relationship, syria

Topic 23: america, month, president, trump, donald, first, joe, biden, realdonaldtrump, golden

","Topic 1:
Tweet 1: Today marks three years since Russia invaded Ukraine. 

Donald Trump is attempting to rewrite history, exclude Ukraine and our European allies from negotiations, and offer concessions to Russia --- and we must never betray our American values and push back against aggressions threatening our national security interests.

Trump and Pro-Putin Republicans are selling out Ukraine for nothing in return.
Tweet 2: The United Nations has become a platform for tyrants, and a megaphone for people who hate America. 

We should stop paying for it and put America first. 

Proud to introduce the DEFUND Act with @chiproytx and  @RepMikeRogersAL to withdraw the US from the UN. 

👇🔗👇🔗👇 https://t.co/JgKfRuLYIU
Tweet 3: Three years ago today, Vladimir Putin brought expanded war and destruction to the free people of Ukraine.

Putin's heinous war has killed tens of thousands of innocent civilians.

Until now, the United States has been clear on where we stand: With Ukraine, for democracy, for the inviolability of borders, and the freedom of nations, and against Putin.

But today, Donald Trump is turning his back on the values that America stands for.

Donald Trump is showing weakness to Putin and endangering America’s security tomorrow.

Democrats will not stop fighting for democracy.

Topic 22:
Tweet 1: In meeting with @IsraeliPM I expressed my view that a democratic Syria is a net positive for all parties & a permanent Russian presence threatens Israeli security. I encouraged @IsraeliPM to welcome regional efforts to push for equal human rights, democratic elections and rule of law in Syria
Tweet 2: With increased antisemitic acts on college campuses after Hamas’ attack on Israel, schools must fulfill their responsibility to offer a safe learning environment. Our bipartisan bill would ensure proper tools are in place to investigate these incidents.
https://t.co/seodKtDBLk
Tweet 3: As a newly named co-chair of the House Bipartisan Task Force for Combating Antisemitism, I was grateful to take part in a roundtable discussion today with @TedDeutch, former Congressman and CEO of the American Jewish Committee (@AJCGlobal). 

Our conversation focused on the rise of antisemitism both at home and abroad and the need for Congress to stand united in confronting this growing threat. The task force plays a vital role in not only condemning antisemitism in all its forms but also taking meaningful action to protect the Jewish community, strengthen engagement with allies, and raise awareness of the dangers of antisemitic hatred.

Topic 23:
Tweet 1: 1 month in and @POTUS isn't tired of winning. https://t.co/iGb4iFCHZt
Tweet 2: Today marks ONE MONTH since President Trump's historic return.

America is BACK—and it's just the beginning. 🇺🇸
Tweet 3: 70% of Americans say President Trump is doing *exactly* what he said he would do.

",continued_1,continued_1,disappeared,continued_1
99_5,"school, education, fund, student, funding, release, teacher, trump, donald, administration","Tweet 1: After lawsuits, public outrage, and relentless organizing, the Trump admin is finally releasing billions in education funding.

These funds should’ve never been withheld. They belong to our students and schools—not Trump’s petty political games.
Tweet 2: From gutting @usedgov to defunding essential programs, Republicans are hellbent on attacking public education in the U.S.

Yesterday, I hosted a spotlight forum to highlight the dangers of these attacks. I won’t stay quiet while they rob our students of their future.
Tweet 3: We’re approaching the start of the school year, and the Trump Administration is illegally withholding nearly $7 billion in federal funding for schools across the U.S., including $73 million for Oregon.

@RussVought47 and @EDSecMcMahon: release the funds. Now.

https://t.co/oTplu2PNzs
","Topic 5: school, education, fund, student, funding, release, trump, teacher, donald, administration

Topic 18: project, community, funding, federal, help, support, grant, million, park, proud

Topic 4: health, care, medicaid, cut, republicans, big, ugly, tax, bill, americans

","Topic 5:
Tweet 1: More than $5 billion in education funds are being withheld by @POTUS.

Public schools across the country are already stretched thin. 

Because of this freeze, students, teachers, and parents will suffer the loss of health services, specialized and accelerated learning courses, and counseling.
Tweet 2: This is exactly why school choice is so important. The same union boss who locked kids out of classrooms during COVID is now teaming up with the World Economic Forum to rewrite what they’re taught. 

Parents, not deranged global elites, should decide what goes into our children’s schools.
Tweet 3: When people feel like they can’t get ahead, when they can’t provide for their kids what was provided for them, they feel anger. 

In a multiracial, multiethnic experiment in democracy, people end up blaming people who don’t look like them, speak like them, or pray like them. https://t.co/ehNquKFcpf

Topic 18:
Tweet 1: I’m back in Orange County working hard to deliver for our communities. I’m fighting to secure funding to clean up our beaches and I’m also proud to announce federal grant funding for lung disease research. https://t.co/a89nXpj3pe
Tweet 2: It's time to put the $4 billion in federal funding for California's High-Speed Rail towards useful infrastructure projects that actually help Californians. https://t.co/iwTehVOK2a
Tweet 3: 🚧 Major progress for Dorchester County 🚧

“As the Lowcountry grows, so does the demand on our roads and infrastructure. This investment will improve safety, reduce congestion, and support long-term economic growth.""

Full story from Live 5 News:
https://t.co/iYHwKpnYrB https://t.co/w4RfNKPyb9

Topic 4:
Tweet 1: In Oregon, 90,000 people are at risk of losing their access to SNAP.

That’s 90,000 people – veterans, children, seniors – who are just trying to make ends meet and put food on the table.

But Republicans sold them out to give tax cuts to the rich.
Tweet 2: For too long, Coloradans faced high, unexpected medical bills after visiting the hospital.

I was glad Congress passed the No Surprises Act into law in 2020 to stop this abusive practice.

This week, I introduced the No Surprises Act Enforcement Act to ensure health care providers and insurers are following that law and upholding their obligations.
Tweet 3: Republicans’ historic tax cuts for working families and investments in American industries are fueling a big, beautiful economy!

",continued_5,continued_5,continued_5,continued_5
114_23,"farmer, farm, ag, producer, agriculture, great, business, county, rancher, rural","Tweet 1: Great to meet face-to-face with Cincinnati business and community leaders from the @CincyChamber.
 
My goal is to remove red tape to spur economic development and help businesses grow and thrive in Ohio. https://t.co/IWM4TVftQQ
Tweet 2: From field to table, MT’s farmers &amp; ranchers feed our nation. Grateful for the hard work of the MT Farmer’s Union! https://t.co/Tl55fEArt0
Tweet 3: Southern Minnesota is fortunate to have one of the nation’s largest manufacturers of cement mixers and garbage trucks right here in Dodge Center. I joined @CTMMixers owner, Grant McNeilus, for a tour of their growing operation, now with over 300 employees. We discussed their commitment to performance, safety, and service. Thanks to Grant and Garwin for the hospitality!
","Topic 13: farmer, farm, producer, agriculture, business, support, ohio, iowa, fuel, ag

Topic 10: school, student, education, program, hospital, child, kid, college, sport, health

Topic 23: great, park, festival, community, local, celebrate, event, county, fair, enjoy

","Topic 13:
Tweet 1: In Bel Aire, I toured @clinicinacan, a local business that converts shipping containers into global health clinics sent to people in need or in disaster areas. Their manufacturing happens right here in Kansas! https://t.co/56IIQsL8r9
Tweet 2: Thanks to the Madison County Chamber of Commerce for meeting to discuss issues important to the Anderson area and Hoosiers across central Indiana. https://t.co/e8LaOYjitq
Tweet 3: 👏 Congrats to Las Vegas on the opening of the new Civic Center &amp; Carolyn G. Goodman Plaza! A big win for downtown and our community. #LasVegas #CivicCenter 

https://t.co/i0m9lpXo0G

Topic 10:
Tweet 1: Spoke with Michelle Powers, CEO of Northern Hills Training Center in Spearfish, about strengthening community-based services and support for adults with developmental disabilities in South Dakota. https://t.co/Fbn6A8kO17
Tweet 2: I’m also sounding the alarm about how the Trump Administration’s cuts to schools and after-school programs will impact school sports.

These aren’t just funds for today — they are investments in our children’s long-term development, well-being, and academic success.
Tweet 3: I’m joining Rep. Chris Smith to reauthorize the Stem Cell Therapeutic and Research Act.

This program has already enabled 135,000 lifesaving transplants &amp; ensures patients battling leukemia, lymphoma, &amp; sickle cell can find a donor when they need it most. https://t.co/h1S5HKT5QK

Topic 23:
Tweet 1: Our rich ethnic heritage includes the legacy of Don Francisco de Paula  y Marin as well as descendants of some 8,000 original immigrants from Spain in the late 19th/early 20th century. Congrats to our Spanish Hawaiian Heritage Assn on your Inaugural International Academic & Cultural Conference this weekend.
Tweet 2: It’s not a surprise to anyone that Jersey has the best bagels  — and Teaneck Road Hot Bagels made the list of the best in the country!

In Jersey, we don’t “take notes” from New York on making a good bagel. We show them how it’s actually done!
https://t.co/0B5Rv7Frwd.
Tweet 3: Always a great way to start the day— hosting Tennesseans at our weekly Tennessee Tuesday coffee.

I enjoyed visiting with folks from across the Volunteer State and hearing what’s on their minds here in Washington. 🇺🇸☕️ https://t.co/svDIonZxBF

",continued_13,continued_13,disappeared,continued_13
53_4,"border, illegal, secure, joe, biden, crossing, president, immigration, alien, cbp","Tweet 1: “Temporary” Protected Status (TPS) is de-facto amnesty-lite. 

TPS shields MILLIONS of economic illegal aliens from deportation each year.

Congress MUST restore TPS’s original intent.
Tweet 2: I am thankful for President @realDonaldTrump for taking decisive action to secure our border once and for all.
Tweet 3: The numbers tell the story. 

President Trump is securing the border. https://t.co/yjVZvWwzF2
","Topic 4: border, illegal, joe, biden, alien, immigrant, cbp, secure, president, immigration

Topic 18: spending, cr, government, president, agenda, continue, first, deliver, keep, america

Topic 31: president, america, potus, first, realdonaldtrump, american, win, trump, donald, back

","Topic 4:
Tweet 1: Illegal alien border crossings are down 95% since Donald Trump took office.
Tweet 2: The Biden admin turned America into a SANCTUARY country. 

The Trump admin has PRIORITZED arresting and deporting illegal aliens across the U.S. 

Congress should provide ICE with more resources to REMOVE Joe Biden’s illegals.
Tweet 3: These are the kinds of criminal illegal aliens who were allowed to invade our country under Joe Biden.

President Trump is keeping his promise to secure our borders.

Our communities are safer thanks to @POTUS!

Topic 18:
Tweet 1: I'm voting YES on the CR today because it:

✅ Puts AMERICA FIRST 🇺🇸
✅ Cuts spending while fully funding core government services
✅ Prevents government shutdown and lets DOGE continue to save money for the American people‼️
Tweet 2: I voted to fund the government today because it was the responsible thing to do to keep the government open and working for the American people. I called for this action weeks ago to protect the momentum of President Trump’s America First agenda. 

Democrats wanted to shut down the government – the very thing they have said for years is irresponsible governing – simply because they wanted to stop President Trump. They did not succeed.
Tweet 3: I supported the continuing resolution to keep our government open today. 

Our fiscal year starts October 1st, and we need to immediately start the appropriations process for the next fiscal year so we don’t end up in this situation again.

Topic 31:
Tweet 1: Greatest American President of my lifetime 🇺🇸 https://t.co/QepCWUWMbO
Tweet 2: @POTUS We're so back! 🇺🇸
Tweet 3: I will stand with President Trump and @HouseGOP to keep the government open and deliver on our promises. Americans deserve a government that works for them! https://t.co/hGxo7Bort7

",continued_4,continued_4,unclear,merge
35_3,"hostage, hamas, ceasefire, deal, israel, peace, gaza, agreement, release, return","Tweet 1: President-elect Joseph Aoun’s victory is an encouraging step for the people of Lebanon. I am hopeful he is the right leader to uphold Lebanon’s ceasefire with Israel, stabilizing the economy, and cracking down on Hezbollah. 🇱🇧🇺🇸 
https://t.co/6CJpacsgnl
Tweet 2: The path forward will be difficult, and our work is far from finished. Hamas must release all remaining hostages, be fully disarmed, and end its oppressive rule over Gaza.
Tweet 3: With news breaking that a hostage deal has been reached between Hamas and Israel, my prayers are with every hostage who will hopefully be returned safely and soon to their families and loved ones.

In the weeks following Hamas’s brutal terrorist attack, I was honored to meet with the parents of Sagui Dekel-Chen, an Israeli American presumed to be held captive in Gaza whose mother is a Sarasota resident.

Please join Sandy and I in praying for his return and all of those still captured.
","Topic 0: hostage, hamas, israel, ceasefire, deal, gaza, agreement, peace, release, return

Topic 9: biden, joe, president, farewell, kamala, year, america, failure, american, legacy

Topic 21: cuba, terrorism, sponsor, cuban, maduro, regime, joe, biden, designation, list

","Topic 0:
Tweet 1: Hamas should be eradicated and the terrorist group's backers in Tehran need to feel the full force of sanctions. 

President Trump will restore strong American leadership when he returns to the WH and hold rogue states like Iran responsible. https://t.co/hKvpkdQ9MU
Tweet 2: Thanks to @POTUS' leadership, a ceasefire deal has been reached to end 15 months of fighting in the Gaza Strip that has taken thousands of innocent lives and bring Israeli hostages home.
Tweet 3: Ultimately, the region will not be secure until Hamas no longer maintains its iron grip on the governance of Gaza, threatening both Palestinians and Israelis who want to live in peace and security.

Topic 9:
Tweet 1: Here’s the real ins and outs for 2025 —

Ins:
Donald J. Trump
JD Vance

Outs:
Joe Biden
Kamala Harris

Ready to Make America Great Again 🇺🇸
Tweet 2: The outrageous dereliction of duty by Joe Biden and Alejandro Mayorkas ends in 6 days, but the damage they have done to the security of our country will take years to repair.
Tweet 3: When @POTUS took office, the country was in the midst of a once-in-a-century pandemic and had just experienced the worst attack on our democracy since the Civil War.

Under President Biden's leadership, the country united as Americans and made extraordinary progress. 🧵 https://t.co/wA3h7IhYh3

Topic 21:
Tweet 1: RELEASE: Senate Republicans and I have introduced the STOP MADURO Act. 

This legislation would increase the maximum reward amount from $15 million to $100 million for information leading to the arrest and conviction of Nicolás Maduro.

https://t.co/jkX1LcjwAN https://t.co/ZzSUedrQAD
Tweet 2: Read more ⬇️ https://t.co/8GHmSzP6CO
Tweet 3: I commend Gov. @Jenniffer for her leadership in condemning the absurd and pathetic threats to Puerto Rico from Venezuela’s dictator—a dictator who is desperately clinging to illegitimate power. What a contrast to the courage and inspiration demonstrated by the Venezuelan people and heroine María Corina Machado.

With Biden in the White House, adversaries such as those within the Maduro narco-dictatorship have been emboldened by his weak policy of appeasement.

But in less than a week, a new foreign policy will begin where freedom and U.S. national security interests are paramount. Friends will be treated as friends, and adversaries as adversaries.

Maduro’s days are numbered. If the dictator in Venezuela does not want to end up like other dictators Mussolini and Gaddafi, he should leave Venezuela without delay.

",continued_0,continued_0,continued_0,continued_0
102_9,"texas, map, redistricting, congressional, voter, democrats, voting, gerrymander, house, state","Tweet 1: I would compare Illinois’ gerrymandered congressional map to the scribblings of a small child, but that would be unfair to small children.

It’s rich that Texas Democrats have fled to these deeply Democratic states with terrible gerrymanders. https://t.co/cAlgbXbjkn
Tweet 2: Texas Republicans are trying to rig the House map..again. Under the constitution, Redistricting is supposed to happen every 10 years. Now they want to do it every 2? That’s un-American, and exactly how Trump plans to steal the House. https://t.co/ULPsLpyoK5
Tweet 3: @jclemensky @johnjlopez @tyletourneau89 @grok @andreagail_k I’m willing to consider. This far though all the bills are gross overreach and go way beyond gerrymandering.
","Topic 10: texas, democrats, redistricting, map, democracy, state, republicans, stand, congressional, gerrymander

Topic 7: right, voting, act, vote, fight, democracy, year, ago, today, lewis

Topic 24: nominee, senate, confirm, schumer, president, democrats, recess, appointment, donald, trump

","Topic 10:
Tweet 1: Texas Democrats are standing up to an unconscionable attack on the bedrock of our democratic system: free and fair elections.

My full statement on the gerrymandered congressional map proposed by the Texas State Legislature ⤵️ https://t.co/OuGrMQvMFN
Tweet 2: We're not in normal times.

https://t.co/UopuEk6RcB
Tweet 3: Texas Democrats are standing up for the people. https://t.co/VO7EA1bh9b

Topic 7:
Tweet 1: 60 years ago, the Voting Rights Act became law with overwhelming bipartisan support. It opened the doors of democracy to millions.

Today, we are seeing that the right to democracy is not guaranteed. As some try to drag us backward, we'll keep pushing forward.
Tweet 2: 60 years after the Voting Rights Act was signed into law, our right to vote is still under attack — whether it’s Trump’s power grabs over state election systems or Republicans’ redistricting efforts in Texas. 

Our right to vote is not guaranteed unless we are willing to fight to defend it.
Tweet 3: Sixty years ago today, Texas president LBJ signed the Voting Rights Act.

Americans throughout history have marched, fought, and even died for the right to vote.

But now, Trump is trying to drag us backward. We can't let him silence voters in Texas just to stay in power.

Topic 24:
Tweet 1: @GuntherEagleman We’re not defying Trump. Some of us spent 3 days working with the President— all options were on the table. Including recess appointments. I literally spoke with him by phone this morning. We’re looking at rule changes as a permanent solution. https://t.co/CJYOcASY5R
Tweet 2: In case anyone is wondering why Chuck Schumer is refusing to seat President @realDonaldTrump’s nominees… https://t.co/HEfXYY3sj6
Tweet 3: Maybe a better question is why are the Democrats filibustering the nominee, except for their resistance to everything and everyone associated with @realDonaldTrump? Mindless.

",continued_10,continued_10,disappeared,split_7_10
