topic,successors,antecedents
0_0,"['1_0', '1_1', '1_5']",[]
0_1,"['1_2', '1_3', '1_12']",[]
0_2,"['1_4', '1_0', '1_13']",[]
0_3,"['1_2', '1_3', '1_6']",[]
0_4,"['1_7', '1_0', '1_9']",[]
0_5,"['1_6', '1_3', '1_13']",[]
1_0,"['2_2', '2_8', '2_15']","['0_0', '0_2', '0_4']"
1_1,"['2_3', '2_5', '2_2']","['0_0', '0_5', '0_2']"
1_2,"['2_0', '2_6', '2_1']","['0_1', '0_3', '0_0']"
1_3,"['2_1', '2_6', '2_9']","['0_0', '0_3', '0_5']"
1_4,"['2_4', '2_2', '2_0']","['0_2', '0_0', '0_4']"
1_5,"['2_9', '2_14', '2_10']","['0_0', '0_3', '0_5']"
1_6,"['2_6', '2_1', '2_9']","['0_0', '0_5', '0_3']"
1_7,"['2_2', '2_8', '2_4']","['0_4', '0_0', '0_2']"
1_8,"['2_12', '2_18', '2_8']","['0_0', '0_5', '0_3']"
1_9,"['2_2', '2_10', '2_11']","['0_0', '0_4', '0_2']"
1_10,"['2_11', '2_2', '2_10']","['0_0', '0_4', '0_2']"
1_11,"['2_13', '2_2', '2_9']","['0_0', '0_2', '0_4']"
1_12,"['2_2', '2_3', '2_17']","['0_0', '0_1', '0_2']"
1_13,"['2_2', '2_3', '2_13']","['0_0', '0_5', '0_2']"
2_0,"['3_1', '3_0', '3_2']","['1_2', '1_13', '1_3']"
2_1,"['3_0', '3_3', '3_1']","['1_3', '1_6', '1_5']"
2_2,"['3_0', '3_3', '3_2']","['1_0', '1_1', '1_13']"
2_3,"['3_0', '3_3', '3_1']","['1_1', '1_0', '1_13']"
2_4,"['3_2', '3_1', '3_0']","['1_4', '1_0', '1_13']"
2_5,"['3_0', '3_1', '3_3']","['1_1', '1_0', '1_13']"
2_6,"['3_0', '3_3', '3_1']","['1_6', '1_3', '1_5']"
2_7,"['3_0', '3_3', '3_1']","['1_0', '1_1', '1_8']"
2_8,"['3_0', '3_2', '3_3']","['1_0', '1_8', '1_10']"
2_9,"['3_0', '3_3', '3_1']","['1_5', '1_6', '1_3']"
2_10,"['3_0', '3_3', '3_1']","['1_5', '1_0', '1_13']"
2_11,"['3_0', '3_2', '3_1']","['1_10', '1_0', '1_9']"
2_12,"['3_0', '3_3', '3_1']","['1_8', '1_0', '1_6']"
2_13,"['3_0', '3_3', '3_2']","['1_11', '1_13', '1_0']"
2_14,"['3_0', '3_3', '3_1']","['1_5', '1_6', '1_3']"
2_15,"['3_0', '3_3', '3_2']","['1_0', '1_5', '1_8']"
2_16,"['3_0', '3_2', '3_1']","['1_0', '1_1', '1_9']"
2_17,"['3_0', '3_3', '3_2']","['1_6', '1_0', '1_1']"
2_18,"['3_0', '3_3', '3_1']","['1_8', '1_3', '1_5']"
2_19,"['3_0', '3_3', '3_1']","['1_0', '1_5', '1_8']"
3_0,"['4_0', '4_16', '4_9']","['2_2', '2_3', '2_7']"
3_1,"['4_3', '4_1', '4_12']","['2_0', '2_6', '2_1']"
3_2,"['4_2', '4_5', '4_12']","['2_4', '2_2', '2_11']"
3_3,"['4_14', '4_1', '4_8']","['2_9', '2_1', '2_6']"
4_0,"['5_1', '5_3', '5_9']","['3_0', '3_3', '3_1']"
4_1,"['5_0', '5_11', '5_3']","['3_0', '3_3', '3_1']"
4_2,"['5_4', '5_5', '5_10']","['3_2', '3_0', '3_1']"
4_3,"['5_2', '5_11', '5_0']","['3_1', '3_0', '3_3']"
4_4,"['5_7', '5_10', '5_13']","['3_0', '3_2', '3_1']"
4_5,"['5_5', '5_10', '5_13']","['3_2', '3_0', '3_3']"
4_6,"['5_8', '5_3', '5_12']","['3_0', '3_2', '3_3']"
4_7,"['5_15', '5_3', '5_10']","['3_0', '3_3', '3_2']"
4_8,"['5_14', '5_15', '5_3']","['3_0', '3_3', '3_1']"
4_9,"['5_15', '5_3', '5_12']","['3_0', '3_3', '3_2']"
4_10,"['5_12', '5_3', '5_15']","['3_0', '3_3', '3_2']"
4_11,"['5_13', '5_5', '5_10']","['3_2', '3_0', '3_3']"
4_12,"['5_10', '5_5', '5_3']","['3_0', '3_2', '3_1']"
4_13,"['5_3', '5_0', '5_1']","['3_0', '3_3', '3_1']"
4_14,"['5_0', '5_14', '5_6']","['3_3', '3_0', '3_1']"
4_15,"['5_11', '5_3', '5_0']","['3_0', '3_3', '3_1']"
4_16,"['5_3', '5_1', '5_15']","['3_0', '3_3', '3_2']"
4_17,"['5_12', '5_3', '5_9']","['3_0', '3_3', '3_2']"
5_0,"['6_0', '6_1', '6_4']","['4_1', '4_15', '4_14']"
5_1,"['6_0', '6_4', '6_2']","['4_0', '4_16', '4_9']"
5_2,"['6_1', '6_0', '6_2']","['4_3', '4_1', '4_15']"
5_3,"['6_0', '6_2', '6_4']","['4_16', '4_9', '4_10']"
5_4,"['6_2', '6_3', '6_0']","['4_2', '4_5', '4_12']"
5_5,"['6_2', '6_3', '6_0']","['4_5', '4_11', '4_12']"
5_6,"['6_0', '6_4', '6_1']","['4_8', '4_7', '4_1']"
5_7,"['6_3', '6_0', '6_2']","['4_4', '4_9', '4_12']"
5_8,"['6_0', '6_2', '6_3']","['4_6', '4_16', '4_9']"
5_9,"['6_0', '6_4', '6_2']","['4_0', '4_9', '4_16']"
5_10,"['6_2', '6_0', '6_3']","['4_12', '4_5', '4_9']"
5_11,"['6_1', '6_0', '6_4']","['4_15', '4_3', '4_1']"
5_12,"['6_0', '6_2', '6_4']","['4_10', '4_17', '4_9']"
5_13,"['6_3', '6_2', '6_0']","['4_11', '4_5', '4_12']"
5_14,"['6_0', '6_4', '6_2']","['4_8', '4_16', '4_10']"
5_15,"['6_0', '6_4', '6_2']","['4_9', '4_7', '4_8']"
6_0,"['7_0', '7_3', '7_11']","['5_3', '5_0', '5_15']"
6_1,"['7_1', '7_4', '7_15']","['5_2', '5_11', '5_0']"
6_2,"['7_0', '7_9', '7_13']","['5_5', '5_10', '5_13']"
6_3,"['7_13', '7_0', '7_9']","['5_13', '5_5', '5_10']"
6_4,"['7_14', '7_8', '7_0']","['5_15', '5_6', '5_3']"
