window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
0,0.0,"['provision', 'object', 'indians', 'proper', 'consideration', 'militia', 'lay', 'constitution', 'ought', 'establishment']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
0,1.0,"['treaty', 'commissioner', 'vessel', 'th', 'article', 'capture', 'appoint', 'britain', 'majesty', 'meet']",1,"[3, 4]","[['commissioner', 'treaty', 'article', 'th', 'appoint', 'majesty', 'britain', 'vessel', 'river', 'amity'], ['treaty', 'negotiation', 'honor', 'faith', 'algier', 'regency', 'france', 'envoy', 'disposition', 'french']]","[0.924, 0.845]","[0.5, 0.375]","[1.0, 1.0]",0.875,2.0,split,,,,,
1,0.0,"['militia', 'pennsylvania', 'constitution', 'seat', 'county', 'execution', 'army', 'officer', 'judicial', 'execute']",2,[6],"[['court', 'judiciary', 'consider', 'consideration', 'constitution', 'perform', 'organization', 'sufficiently', 'cause', 'execute']]",[0.807],[0.406],[1.0],0.406,1.0,unclear,,,,,
1,1.0,"['happiness', 'let', 'ruler', 'supreme', 'fully', 'blessing', 'gratitude', 'wish', 'sense', 'insurrection']",2,[2],"[['gratitude', 'city', 'health', 'prospect', 'blessing', 'providence', 'safety', 'neglect', 'afflict', 'sickness']]",[0.947],[0.955],[0.812],0.955,0.812,continued,,,,,
1,2.0,"['expenditure', 'manufacture', 'appropriation', 'direct', 'estimate', 'revenue', 'account', 'ensue', 'sum', 'satisfaction']",2,[1],"[['expense', 'expenditure', 'taxis', 'revenue', 'receipt', 'treasury', 'direct', 'ensue', 'principal', 'loan']]",[0.936],[0.955],[0.947],0.955,0.947,continued,,,,,
1,3.0,"['commissioner', 'treaty', 'article', 'th', 'appoint', 'majesty', 'britain', 'vessel', 'river', 'amity']",2,[3],"[['treaty', 'commissioner', 'article', 'th', 'claim', 'river', 'vessel', 'majesty', 'appoint', 'capture']]",[0.971],[0.944],[0.923],0.944,0.923,continued,,,,,
1,4.0,"['treaty', 'negotiation', 'honor', 'faith', 'algier', 'regency', 'france', 'envoy', 'disposition', 'french']",2,[4],"[['france', 'minister', 'french', 'honor', 'disposition', 'envoy', 'sincerity', 'receive', 'negotiation', 'difference']]",[0.951],[0.833],[1.0],0.833,1.0,continued,,,,,
1,5.0,"['naval', 'navy', 'port', 'sea', 'experience', 'coast', 'fortification', 'ought', 'pacific', 'intercourse']",2,[0],"[['vessel', 'naval', 'sea', 'lay', 'measure', 'information', 'harbor', 'mediterranean', 'respect', 'cruiser']]",[0.922],[1.0],[0.68],1.0,0.68,continued,,,,,
1,6.0,"['indians', 'indian', 'tribe', 'creek', 'frontier', 'georgia', 'hostility', 'friendship', 'prevent', 'consequence']",2,[5],"[['title', 'tribe', 'territory', 'indian', 'include', 'extinguish', 'demarcation', 'extend', 'ground', 'boundary']]",[0.822],[0.6],[0.857],0.6,0.857,unclear,,,,,
2,0.0,"['vessel', 'naval', 'sea', 'lay', 'measure', 'information', 'harbor', 'mediterranean', 'respect', 'cruiser']",3,"[1, 6]","[['vessel', 'sea', 'mediterranean', 'coast', 'tripoli', 'harbor', 'cruiser', 'appear', 'send', 'barbary'], ['port', 'militia', 'town', 'sea', 'competent', 'point', 'boat', 'fortification', 'gun', 'appropriation']]","[0.917, 0.875]","[0.48, 0.32]","[0.85, 1.0]",0.8,1.85,split,,,,,
2,1.0,"['expense', 'expenditure', 'taxis', 'revenue', 'receipt', 'treasury', 'direct', 'ensue', 'principal', 'loan']",3,[0],"[['treasury', 'principal', 'receipt', 'expense', 'revenue', 'payment', 'sum', 'upward', 'discharge', 'th']]",[0.965],[0.947],[1.0],0.947,1.0,continued,,,,,
2,2.0,"['gratitude', 'city', 'health', 'prospect', 'blessing', 'providence', 'safety', 'neglect', 'afflict', 'sickness']",3,"[4, 7]","[['neutral', 'circumstance', 'wisdom', 'look', 'commit', 'friendly', 'tend', 'conduct', 'desirable', 'affair'], ['establish', 'indian', 'disposition', 'friendship', 'newly', 'friendly', 'household', 'moderate', 'health', 'acquire']]","[0.867, 0.746]","[0.688, 0.312]","[0.833, 0.714]",1.0,1.548,split,,,,,
2,3.0,"['treaty', 'commissioner', 'article', 'th', 'claim', 'river', 'vessel', 'majesty', 'appoint', 'capture']",3,[5],"[['negotiation', 'issue', 'duty', 'treaty', 'river', 'produce', 'enable', 'difference', 'western', 'france']]",[0.76],[0.692],[0.4],0.692,0.4,unclear,,,,,
2,4.0,"['france', 'minister', 'french', 'honor', 'disposition', 'envoy', 'sincerity', 'receive', 'negotiation', 'difference']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,5.0,"['title', 'tribe', 'territory', 'indian', 'include', 'extinguish', 'demarcation', 'extend', 'ground', 'boundary']",3,[2],"[['river', 'mississippi', 'ohio', 'land', 'tribe', 'settle', 'mouth', 'include', 'cede', 'purchase']]",[0.92],[0.857],[0.846],0.857,0.846,continued,,,,,
2,6.0,"['court', 'judiciary', 'consider', 'consideration', 'constitution', 'perform', 'organization', 'sufficiently', 'cause', 'execute']",3,[3],"[['constitution', 'legislature', 'judiciary', 'court', 'case', 'trust', 'consider', 'exercise', 'enterprise', 'execution']]",[0.924],[1.0],[0.846],1.0,0.846,continued,,,,,
