start_year,end_year,num_docs,cv,npmi,umass,diversity,tq,topics,topic_doc_counts
1791,1798,183,0.6287194610795086,0.03190703414078169,-2.969532007574751,1.0,0.6287194610795086,"['provision | object | indians | proper | consideration | militia | lay | constitution | ought | establishment', 'treaty | commissioner | vessel | th | article | capture | appoint | britain | majesty | meet']","[156, 24]"
1794,1801,155,0.5414385202697887,-0.08786405242593232,-7.358676651128765,0.9952380952380953,0.5383128280991747,"['militia | pennsylvania | constitution | seat | county | execution | army | officer | judicial | execute', 'happiness | let | ruler | supreme | fully | blessing | gratitude | wish | sense | insurrection', 'expenditure | manufacture | appropriation | direct | estimate | revenue | account | ensue | sum | satisfaction', 'commissioner | treaty | article | th | appoint | majesty | britain | vessel | river | amity', 'treaty | negotiation | honor | faith | algier | regency | france | envoy | disposition | french', 'naval | navy | port | sea | experience | coast | fortification | ought | pacific | intercourse', 'indians | indian | tribe | creek | frontier | georgia | hostility | friendship | prevent | consequence']","[32, 22, 22, 18, 12, 11, 10]"
1797,1804,140,0.5526986986610952,-0.0498484289693251,-5.777620345882817,0.9952380952380953,0.5502339050546274,"['vessel | naval | sea | lay | measure | information | harbor | mediterranean | respect | cruiser', 'expense | expenditure | taxis | revenue | receipt | treasury | direct | ensue | principal | loan', 'gratitude | city | health | prospect | blessing | providence | safety | neglect | afflict | sickness', 'treaty | commissioner | article | th | claim | river | vessel | majesty | appoint | capture', 'france | minister | french | honor | disposition | envoy | sincerity | receive | negotiation | difference', 'title | tribe | territory | indian | include | extinguish | demarcation | extend | ground | boundary', 'court | judiciary | consider | consideration | constitution | perform | organization | sufficiently | cause | execute']","[25, 19, 16, 13, 10, 7, 6]"
1800,1807,151,0.661517779552812,-0.07597253195053413,-4.594484460087875,0.9916666666666667,0.6559621301241418,"['treasury | principal | receipt | expense | revenue | payment | sum | upward | discharge | th', 'vessel | sea | mediterranean | coast | tripoli | harbor | cruiser | appear | send | barbary', 'river | mississippi | ohio | land | tribe | settle | mouth | include | cede | purchase', 'constitution | legislature | judiciary | court | case | trust | consider | exercise | enterprise | execution', 'neutral | circumstance | wisdom | look | commit | friendly | tend | conduct | desirable | affair', 'negotiation | issue | duty | treaty | river | produce | enable | difference | western | france', 'port | militia | town | sea | competent | point | boat | fortification | gun | appropriation', 'establish | indian | disposition | friendship | newly | friendly | household | moderate | health | acquire', 'officer | district | having | function | louisiana | deposit | form | appoint | supply | command']","[21, 20, 13, 13, 12, 10, 10, 7, 7]"
1803,1810,142,0.7353289760672814,-0.009991237860829352,-3.2280101728694355,0.9833333333333334,0.7247419912554744,"['minister | vessel | british | belligerent | intercourse | occasion | instruction | neutral | spain | communication', 'sea | militia | appropriation | town | gun | port | work | vessel | boat | harbor', 'tribe | indian | mississippi | friendship | ohio | source | advance | neighbor | establish | agriculture', 'treasury | receipt | sum | revenue | fund | principal | th | payment | september | current']","[72, 22, 16, 14]"
1806,1813,165,0.7487986946899156,0.06134752404833924,-3.367971548456827,1.0,0.7487986946899156,"['british | order | council | minister | decree | communication | france | neutral | repeal | communicate', 'appropriation | port | work | sea | york | town | harbor | repair | place | authorize', 'militia | army | preparation | establishment | provision | recommend | raise | portion | importance | volunteer', 'treasury | receipt | september | principal | th | revenue | current | loan | end | near', 'tribe | indian | friendship | neighbor | quarter | advance | continuance | disposition | attachment | preserve', 'improvement | education | branch | expense | road | canal | thought | invite | science | seminary']","[79, 14, 10, 9, 7, 5]"
1809,1816,188,0.6870751729671023,-0.006849778344090674,-4.908764739779475,0.9690909090909089,0.6653393195568703,"['manufacture | port | navigation | supply | particular | complete | statement | require | improvement | experience', 'militia | establishment | army | recommend | provision | discipline | expense | resource | academy | bulwark', 'tribe | enemy | regular | savage | frontier | indian | volunteer | command | major | troop', 'prisoner | british | britain | mode | criminal | confinement | province | send | confine | officer', 'enemy | contest | example | savage | humanity | independent | honorable | circumstance | usage | defeat', 'french | france | decree | repeal | neutral | british | minister | communication | paris | receive', 'treasury | sum | loan | receipt | th | include | september | end | revenue | expense', 'blessing | divine | welfare | express | close | providence | cherish | communication | extend | institution', 'order | british | proposal | minister | explanation | council | ratification | know | regard | armistice', 'lake | command | squadron | officer | naval | force | ontario | erie | savage | canada', 'ship | capture | enemy | ocean | naval | frigate | captain | command | skill | cruiser']","[27, 20, 18, 15, 14, 14, 12, 11, 10, 9, 8]"
1812,1819,230,0.6310540913066977,-0.0511763972070949,-4.970372247567891,0.9818181818181818,0.6173046722415744,"['militia | establishment | consideration | provision | recommend | constitution | army | organization | improvement | convenient', 'liberty | earth | blessing | happy | unite | grateful | repose | institution | flourish | enjoyment', 'spain | minister | negotiation | plenipotentiary | know | arrangement | receive | independent | treaty | respect', 'treasury | sum | loan | estimate | revenue | receipt | note | january | include | annual', 'enemy | british | prisoner | humanity | contest | retaliation | example | confinement | hope | britain', 'tribe | indian | territory | purchase | mississippi | river | treaty | settlement | indiana | civilize', 'volunteer | enemy | command | regular | major | attack | troop | brigadier | hostile | fort', 'lake | command | captain | squadron | officer | force | naval | capture | superiority | enemy', 'intercourse | extent | recommendation | taxis | especially | proper | adhere | road | canal | entertain', 'value | manufacture | sale | proceed | emigration | manufacturing | revenue | land | duty | competition', 'ship | ocean | naval | frigate | enemy | capture | successful | skill | cruiser | coast', 'spain | florida | post | spanish | pensacola | suppress | protect | adventurer | enter | act']","[26, 21, 17, 17, 16, 13, 11, 10, 10, 10, 9, 9]"
1815,1822,264,0.5893961951964827,-0.04243963659727151,-4.9252265395909856,0.9928571428571429,0.5846784693688742,"['spain | treaty | florida | province | minister | spanish | party | friendly | ratify | majesty', 'tribe | fortification | work | frontier | complete | mississippi | coast | construction | river | point', 'blessing | happy | grateful | institution | enjoy | liberty | strength | feel | pressure | prosperous', 'treasury | sum | estimate | receipt | january | stock | revenue | amount | exceed | balance', 'british | vessel | port | party | navigation | france | condition | convention | allow | arrangement', 'establishment | officer | building | consideration | accommodation | provision | district | station | convenient | merit', 'domestic | duty | manufacture | raise | price | augment | manufacturing | supply | demand | revenue', 'affair | circumstance | vast | experience | intercourse | favorable | adhere | recommendation | canal | road']","[85, 28, 24, 24, 22, 15, 11, 8]"
1818,1825,357,0.6883671721914036,0.04966968185371141,-3.932902644917743,0.9868131868131869,0.6785525619802095,"['spain | treaty | minister | ratify | receive | ayre | buenos | independent | friendly | ratification', 'treasury | receipt | january | stock | sum | th | exceed | september | estimate | post', 'piracy | suppress | squadron | coast | sea | suppression | island | vessel | slave | mediterranean', 'engineer | fortification | survey | work | examine | complete | coast | board | frontier | road', 'tribe | territory | missouri | appropriation | mouth | limit | establish | mississippi | civilization | indians', 'blessing | happy | feel | pressure | grateful | enjoy | prosperous | spectacle | let | acknowledgment', 'th | decision | treaty | article | convention | ghent | emperor | imperial | having | britain', 'florida | pensacola | savage | st | inhabitant | indians | combination | territory | province | district', 'manufacture | domestic | revenue | price | raise | source | duty | derive | demand | article', 'affair | especially | cause | pursue | form | satisfaction | regard | think | circumstance | adhere', 'vessel | port | allow | condition | production | manufacture | admit | france | favor | article', 'british | colony | indie | satisfactory | west | britain | commercial | intercourse | continent | open', 'army | discipline | institution | attain | staff | science | academy | improvement | corps | attainment', 'injury | interfere | cause | preparation | hemisphere | european | internal | declare | consider | independence']","[57, 37, 31, 28, 18, 17, 16, 15, 14, 11, 11, 9, 9, 6]"
