year,cv,npmi,umass,diversity,tq
1791,0.5824790653457996,-0.6242624227696099,-21.203370898521293,0.980326530612245,0.5710196812847109
1792,0.5672716271888703,-0.6202573735818475,-21.139988240828753,0.9786122448979592,0.5551389605502185
1793,0.5751986700522214,-0.6474754789121674,-22.05736141356899,0.9894693877551022,0.5691414758941205
1794,0.6131173483789137,-0.6360974982739492,-22.173412372357248,0.9889795918367347,0.6063605449477991
1795,0.5750822918708292,-0.6226325735561699,-21.622225816013653,0.984326530612245,0.5660687571737517
1796,0.5918749218886353,-0.6176334345309564,-21.72223356323786,0.9817959183673469,0.5811003824942544
1797,0.5499188308602332,-0.6093591069840351,-20.761878084256875,0.9733061224489796,0.5352393649262498
1798,0.5729799412130909,-0.6272897719644165,-21.441479708915214,0.9789387755102041,0.560912282043052
1799,0.5001856382037266,-0.6050721751856417,-20.253363019537503,0.9723265306122449,0.48634376625670106
1800,0.5294498996142287,-0.6435347025786706,-21.813948275677873,0.9760816326530614,0.5167863224234558
1801,0.5761324903903636,-0.6176442680161023,-21.10897028486394,0.9783673469387755,0.5636692161084497
1802,0.5260364126429691,-0.6201569144143014,-19.31705910319623,0.9740408163265305,0.5123809367882373
1803,0.5331035874554048,-0.6268756136636955,-20.23094582641392,0.9801632653061225,0.5225285530266975
1804,0.5506197313799153,-0.6334335893341911,-21.02648510457457,0.9787755102040816,0.5389331085098109
1805,0.5594577116040389,-0.6287995304593935,-21.078244802052808,0.9804897959183674,0.548542577475601
1806,0.5589792441323234,-0.6296205191507566,-21.039384834704194,0.9813061224489796,0.5485297545889518
1807,0.5404841453915104,-0.6203639015340717,-20.48537021634268,0.9804897959183674,0.5299391894120352
1808,0.5612068843965105,-0.6415274414625141,-21.168977317149896,0.9831020408163265,0.5517236333703817
1809,0.5462614174457757,-0.6364309197023272,-20.980075258114766,0.9736326530612246,0.5318579531327158
1810,0.5864414349513845,-0.6371034136862168,-21.6204198492764,0.9839183673469387,0.5770104992219621
1811,0.5760798081741652,-0.6279991697427657,-21.35612009464848,0.9752653061224489,0.5618306504699389
1812,0.5418046843816713,-0.6061790662033917,-20.122277827713848,0.9698775510204081,0.5254842004194805
1813,0.5787631427826945,-0.6004955479530036,-20.80365775254882,0.9641632653061225,0.5580221615841963
1814,0.5431816953750296,-0.6083195109604422,-20.081547605511435,0.9676734693877552,0.5256225156714777
1815,0.5766600068942256,-0.6105408727034605,-21.01719806308411,0.9717551020408165,0.5603723038423561
1816,0.558149949749633,-0.6194907653685587,-21.042162974194692,0.9724081632653062,0.5427495674626636
1817,0.5585618167433929,-0.5974925784436623,-19.978392726275825,0.9576326530612245,0.5348970344666728
1818,0.5320631879210609,-0.5718611863426704,-18.811220514302008,0.9461224489795919,0.5033969263677629
1819,0.47856976766654236,-0.5121891043946796,-16.66993079643683,0.9160816326530613,0.43840897410236235
1820,0.5580116684433889,-0.6031933916334676,-20.456398265686552,0.9700408163265305,0.5412940943765543
1821,0.4440597480647553,-0.4872996448717216,-14.741191130917636,0.8996734693877552,0.39950877415687086
1822,0.5009376728568227,-0.5620043525334458,-17.95981320433737,0.9541224489795919,0.47795587921228927
1823,0.5083078150805828,-0.5600562522417335,-18.520281089316544,0.9392653061224491,0.4774358955360968
1824,0.4322596627996947,-0.4974350988690835,-15.042451756148653,0.9011428571428571,0.3895277075629249
1825,0.417104566560916,-0.49637783892070786,-14.6655829658049,0.9084081632653062,0.3789011931991733
1826,0.4244769696071656,-0.5136335290666177,-14.779606962662985,0.9032653061224489,0.38341531989414585
1827,0.4626855575164185,-0.5356261354937746,-16.71416405192638,0.914530612244898,0.42314010619236214
1828,0.4632990325497051,-0.5301803933729317,-16.22976020503487,0.9118367346938777,0.42245307702695567
1829,0.44520551091232086,-0.518751357633271,-15.245183733627089,0.9032653061224488,0.40213869210161873
1830,0.36936860651594033,-0.41468372379414736,-11.353428843056882,0.8546938775510203,0.31569708654872614
1831,0.4907192203911318,-0.5543444521782253,-17.54935872246163,0.937469387755102,0.4600342470997353
1832,0.475651106682945,-0.5285636832627112,-16.629635155726085,0.9185306122448981,0.4369001022364488
1833,0.4215132960971133,-0.49637977100151287,-14.658034187835204,0.8992653061224489,0.37905228324945306
1834,0.35454007747781174,-0.40155931958040225,-10.706749112692114,0.8168979591836735,0.2896230657404459
1835,0.39303944452340356,-0.4589140474147559,-12.618465371468403,0.8724081632653063,0.34289081988747877
1836,0.3579294581145944,-0.4136558636813404,-11.549423135161174,0.814938775510204,0.29169059431493843
1837,0.36195172407627124,-0.4655374595487942,-11.123247048558563,0.8683265306122447,0.3142922848162691
1838,0.36974139489823854,-0.4861997199105963,-11.208508345216417,0.887673469387755,0.3282096267855874
